Date,Startup Name,Industry Vertical,SubVertical,Location,Investors Name,InvestmentnType,Amount
2018-07-31,Five star group,FinTech,Non-Bank Lending Platform For SME,Chennai,"Matrix partners,Norwest venture partners,Sequoia capital,Tpg",Private Equity,825.0
2018-07-30,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurgaon,Amazon alexa fund & dentsu ventures,Private Equity,90.75
2018-07-30,Cure fit,Consumer Internet,Health and fitness Platform,Bangalore,"Accel partners,Idg ventures,Kalaari capital and others",Private Equity,990.0
2018-07-26,Bitla software,Technology,Travel-Focused Tech Startup,Bangalore,Makemytrip,Private Equity,0.0
2018-07-26,Thecapitalnet,FinTech,Unified Global Investments Ecosystem,Hyderabad,Lindwall family investments llc (lfi),Private Equity,4.12
2018-07-26,Entropik,It,Software-As-A-Service Platform,Bangalore,"Arthavida ventures,Bharat innovation,Idfc-parampara capital,Jitendra gupta & others",Seed / Angel Funding,9.07
2018-07-25,Iqlect,Technology,Data Analytics Firm,Bangalore,Ventureast and exfinity,Seed / Angel Funding,20.62
2018-07-25,Trell,Consumer Internet,Mobile-First Video Blogging App,Bangalore,"Beenext,Weh ventures and sprout ventures",Seed / Angel Funding,10.31
2018-07-25,Black soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo logistics,Navneet education and mahavir agency",Private Equity,140.25
2018-07-24,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,371.25
2018-07-24,Kidovators,Ed-Tech,Skill Learning Platform,Bangalore,Gray matters,Seed / Angel Funding,1.49
2018-07-23,Log9 materials,Technology,Nanotechnology Company Specializing In Graphene,Bangalore,"Hemant luthra,Metaform ventures,Micro venture capital firm gems partners and others",Seed / Angel Funding,3.6
2018-07-23,Vtion,Technology,Media Analytics,Gurgaon,"Angellist,Rahul khanna,Rajeev arora and ram ramsundar.",Seed / Angel Funding,2.31
2018-07-21,Paysense,Consumer Internet,Online Consumer Lending Platform,Mumbai,Payu & others,Private Equity,148.5
2018-07-19,BookMyShow,Consumer Internet,Online Ticketing Platform,Mumbai,"The rise fund & others,Tpg growth",Private Equity,825.0
2018-07-18,The ken,Consumer Internet,Subscription-Only News Website,Bangalore,Omidyar network & others,Seed / Angel Funding,12.38
2018-07-17,Ofbusiness,Finance,Online Lending Platform For SME,Gurgaon,"Creation investments,Falcon edge,Matrix partners india and zodius capital",Private Equity,239.25
2018-07-17,Cars24,Consumer Internet,Online Used Car Marketplace,Gurgaon,"Kck global & others,Kingsway fci fund",Private Equity,410.02
2018-07-13,Mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"100 co-founders lab and others.,Amit singal,Mahavir sharma,Siddharth agarwal",Seed / Angel Funding,1.44
2018-07-12,5th vital,Healthcare,Home diagnostics services provider,Bangalore,Brand capital and others,Seed / Angel Funding,4.12
2018-07-12,19th mile,It,Artificial intelligence-based sales acceleration software platform,Gurgaon,"Excelsior investments,Prashant gupta and others,Praveer kumar,Rishi vasudev,Ritesh vohra",Seed / Angel Funding,1.49
2018-07-11,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of pyramid asia (bopa) pte ltd,Private Equity,20.62
2018-07-10,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"And ramakant sharma,Raghunandan g,Stellaris venture partners,Vy capital",Private Equity,41.25
2018-07-10,Kinara capital,Finance,Lending Platform For Micro and Small Enterprises,Bangalore,Responsability,Private Equity,41.25
2018-07-10,Inicu,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture catalysts,Seed / Angel Funding,0.0
2018-07-10,Avenue growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurgaon,"Aditya malik & others,Avtar monga,Chief operating office at idfc bank",Seed / Angel Funding,3.61
2018-07-09,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia ventures partners,Lightbridge partners & kairos",Seed / Angel Funding,9.07
2018-07-09,Zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info edge (india) ltd,Seed / Angel Funding,3.63
2018-07-06,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurgaon,Info edge (india) ltd and temasek,Private Equity,228.53
2018-07-05,Loan tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Ashish goenka,Shunwei capital,Tuscan ventures,Vc firms india quotient and kae capital",Private Equity,51.56
2018-07-04,Anchant,It,E-commerce Fulfilment Platform,Pune,Mdi ventures & telkom indonesia,Private Equity,33.0
2018-07-02,Biryani by kil,Consumer Internet,Online Food Delivery,Gurgaon,Ajay relan and vinay mittal,Seed / Angel Funding,8.25
2018-07-01,Leena ai,Technology,HR Virtual Agent For Employees,Gurgaon,Y combinator,Seed / Angel Funding,0.0
2018-06-29,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,Shiva gunapu & others,Seed / Angel Funding,0.0
2018-06-28,Edureka,Ed-Tech,Online Education Platform,Bangalore,Leo capital,Seed / Angel Funding,16.5
2018-06-28,Front desk ai,Technology,An AI Platform Offering Automated Customer Service Software,Bangalore,Speciale invest & others,Seed / Angel Funding,9.07
2018-06-27,Wow express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed existing investors as well as the tamarind family trust,Private Equity,37.12
2018-06-26,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bangalore,"Accel partners,Axilor ventures and binny bansal,Endiya partners,Idg venture,Pi ventures,Vh capital",Private Equity,156.75
2018-06-26,Payt,Technology,Digital Payment Platform,Noida,One 97 communications,Private Equity,73.84
2018-06-25,Hipbar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bangalore,Diageo india,Private Equity,33.0
2018-06-25,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurgaon,Softbank vision fund & info edge (india) ltd,Private Equity,1650.0
2018-06-25,Sqqrl,Finance,App-based investment platform,Gurgaon,Equanimity venture fund,Seed / Angel Funding,8.25
